model,rmse,n_failures,E_var,E_bias,E_y,coverage,settings
f,6.057674105031511,0,11.654920019557398,-0.779859550119248,22.890981766268325,0,n15_g5
flat,6.295978590173389,320,14.102934912584695,-0.5350454956756892,23.135795820711884,0.965,n15_g5
gamma,6.259703902234642,379,14.166627590017644,-0.02643553915692109,23.644405777230652,0.965,n15_g5
info,6.393765173846467,208,13.624829912071064,-1.1397454194511347,22.53109589693644,0.965,n15_g5
f,5.406343924761176,0,11.580964731612998,0.00295269851487489,23.673794014902448,0,n30_g5
flat,5.624555803200744,346,13.390593187523349,-0.43931374933301015,23.231527567054563,0.965,n30_g5
gamma,5.5539391324926415,384,12.994016310026446,-0.1599904292888894,23.510850887098684,0.965,n30_g5
info,5.625562219962598,289,12.780446992762451,-0.7094740830458157,22.96136723334176,0.965,n30_g5
f,5.2805696469653975,0,3.15734273832555,1.903241063422367,25.57408237980994,0,n50_g5
flat,5.212381876718216,352,3.129867169796705,1.824746553232217,25.49558786961979,0.965,n50_g5
gamma,5.455652135508487,382,3.0391909814000555,2.1238248326845053,25.79466614907208,0.965,n50_g5
info,5.154166705160666,344,3.3506852159777036,1.7219441296493656,25.39278544603694,0.965,n50_g5
