model,n_failures,failure_rate,setting
f,0,0,n50_g5
flat,320,0.8,n50_g5
gamma,379,0.9475,n50_g5
info,208,0.52,n50_g5
f,0,0,n15_g10
flat,31,0.0775,n15_g10
gamma,56,0.14,n15_g10
info,18,0.045,n15_g10
f,0,0,n15_g25
flat,0,0,n15_g25
gamma,0,0,n15_g25
info,0,0,n15_g25
f,0,0,n15_g50
flat,0,0,n15_g50
gamma,0,0,n15_g50
info,0,0,n15_g50
f,0,0,n30_g5
flat,346,0.865,n30_g5
gamma,384,0.96,n30_g5
info,289,0.7225,n30_g5
f,0,0,n30_g10
flat,29,0.0725,n30_g10
gamma,38,0.095,n30_g10
info,29,0.0725,n30_g10
f,0,0,n30_g25
flat,0,0,n30_g25
gamma,0,0,n30_g25
info,0,0,n30_g25
f,0,0,n30_g50
flat,0,0,n30_g50
gamma,0,0,n30_g50
info,0,0,n30_g50
f,0,0,n15_g5
flat,352,0.88,n15_g5
gamma,382,0.955,n15_g5
info,344,0.86,n15_g5
f,0,0,n50_g10
flat,37,0.0925,n50_g10
gamma,36,0.09,n50_g10
info,19,0.0475,n50_g10
f,0,0,n50_g25
flat,0,0,n50_g25
gamma,0,0,n50_g25
info,0,0,n50_g25
f,0,0,n50_g50
flat,0,0,n50_g50
gamma,0,0,n50_g50
info,0,0,n50_g50
