model,rmse,n_failures,E_var,E_bias,E_y,coverage,settings
f,2.4087073428106502,0,5.744584364805119,0.2745021479182981,23.94534346430587,0,n15_g10
flat,2.413468922398032,31,5.822824072899919,0.1425444983366333,23.813385814724207,0.9587106918238992,n15_g10
gamma,2.5106776352088667,56,6.1566559043139915,0.40768472718783144,24.078526043575405,0.9618553459119497,n15_g10
info,2.448075766136119,18,5.9741074688106455,-0.194303858444826,23.476537457942747,0.9587106918238992,n15_g10
f,2.227704990257518,0,4.874728074177909,0.31643051310798853,23.98727182949556,0,n15_g25
flat,2.2001949770510913,0,4.807076292683871,0.2140077921214321,23.884849108509005,0.9625,n15_g25
gamma,2.233766264738838,0,4.90254937207577,0.3153073529743935,23.986148669361967,0.96,n15_g25
info,2.216282210462419,0,4.920006664656887,0.06480886063604174,23.735650177023615,0.96,n15_g25
f,2.0586100287936846,0,4.056228483296257,0.4379353132163679,24.10877662960394,0,n15_g50
flat,2.009236300373694,0,3.9320237407376406,0.33887583176374747,24.00971714815132,0.9625,n15_g50
gamma,2.033894769653737,0,4.00312840216791,0.3789556080365308,24.049796924424104,0.9625,n15_g50
info,2.005234475639354,0,3.963595311233487,0.2593819179072234,23.930223234294797,0.9625,n15_g50
f,2.1263607024793405,0,4.46253096479567,0.2698597441593513,23.940701060546925,0,n30_g10
flat,2.1294247737636898,29,4.5032736675721505,0.21271795823943407,23.883559274627007,0.955625,n30_g10
gamma,2.1811388238228284,38,4.652104374987474,0.34612139484809745,24.01696271123567,0.9525,n30_g10
info,2.13494935754941,29,4.570174049660984,0.04600547298793245,23.716846789375506,0.9525,n30_g10
f,1.95993454025148,0,3.7785379021604903,0.268797032471884,23.939638348859457,0,n30_g25
flat,1.942277474088784,0,3.734284218849989,0.2179295254201321,23.888770841807705,0.9625,n30_g25
gamma,1.98337556831308,0,3.8681005095737766,0.27449660595604897,23.945337922343622,0.9575,n30_g25
info,1.9487121208281273,0,3.785333347543304,0.14699971322425043,23.817841029611824,0.9575,n30_g25
f,1.900883371776381,0,3.516123782135799,0.32561345244857876,23.996454768836152,0,n30_g50
flat,1.8722316587161891,0,3.436032134950987,0.2789432366729194,23.949784553060493,0.9625,n30_g50
gamma,1.8984866399223173,0,3.5126514332086627,0.3168307392566092,23.987672055644182,0.9625,n30_g50
info,1.877060880453674,0,3.4740825761589913,0.24074920396738264,23.911590520354956,0.9625,n30_g50
f,1.7169664420470931,0,2.9526157869220877,0.06665544123201173,23.737496757619585,0,n50_g10
flat,1.7127341670882632,37,2.9416303702470596,0.02965007983897649,23.70049139622655,0.9557692307692308,n50_g10
gamma,1.7409506404121706,36,3.0225392108005513,0.1329287109679953,23.80377002735557,0.9557692307692308,n50_g10
info,1.7317046004583934,19,3.0037485550406218,-0.06553297989882978,23.605308336488743,0.9557692307692308,n50_g10
f,1.68213765478034,0,2.739445233955896,0.31143292818662616,23.9822742445742,0,n50_g25
flat,1.6653280472488905,0,2.701171685934769,0.2808892098922122,23.951730526279785,0.95,n50_g25
gamma,1.683874119859393,0,2.7307281846034392,0.33396210472195165,24.004803421109525,0.95,n50_g25
info,1.6664948472042398,0,2.7266110334629463,0.2396050289100664,23.91044634529764,0.95,n50_g25
f,1.6882089589062503,0,2.8430257420058864,0.11887519203119724,23.78971650841877,0,n50_g50
flat,1.6806826766907574,0,2.821582062079679,0.10082734154945072,23.771668657937024,0.96,n50_g50
gamma,1.6923707846606726,0,2.855235144162608,0.12657731420274132,23.797418630590315,0.96,n50_g50
info,1.682679955183632,0,2.832355800817576,0.07833849795124692,23.74917981433882,0.9575,n50_g50
